id,source_id,grid_size,n_houses,n_attributes,n_cells,n_clues,complexity_rank,quintile
zebralogic_03635,lgp-test-6x4-18,6*4,6,4,24,16,804,5
zebralogic_03636,lgp-test-2x5-5,2*5,2,5,10,4,252,2
zebralogic_03637,lgp-test-2x2-23,2*2,2,2,4,2,24,1
zebralogic_03638,lgp-test-6x2-39,6*2,6,2,12,10,459,3
zebralogic_03639,lgp-test-6x6-16,6*6,6,6,36,27,992,5
zebralogic_03640,lgp-test-2x4-21,2*4,2,4,8,3,125,1
zebralogic_03641,lgp-test-2x4-35,2*4,2,4,8,4,150,1
zebralogic_03642,lgp-test-4x2-35,4*2,4,2,8,5,169,1
zebralogic_03643,lgp-test-6x5-30,6*5,6,5,30,24,959,5
zebralogic_03644,lgp-test-2x5-0,2*5,2,5,10,4,253,2
zebralogic_03645,lgp-test-3x6-24,3*6,3,6,18,10,619,4
zebralogic_03646,lgp-test-2x3-7,2*3,2,3,6,3,66,1
zebralogic_03647,lgp-test-2x6-11,2*6,2,6,12,5,337,2
zebralogic_03648,lgp-test-3x4-37,3*4,3,4,12,9,438,3
zebralogic_03649,lgp-test-3x5-4,3*5,3,5,15,10,528,3
zebralogic_03650,lgp-test-6x4-0,6*4,6,4,24,17,816,5
zebralogic_03651,lgp-test-3x3-23,3*3,3,3,9,5,215,2
zebralogic_03652,lgp-test-2x5-25,2*5,2,5,10,3,243,2
zebralogic_03653,lgp-test-2x3-3,2*3,2,3,6,3,67,1
zebralogic_03654,lgp-test-4x4-24,4*4,4,4,16,11,589,3
zebralogic_03655,lgp-test-2x4-6,2*4,2,4,8,3,126,1
zebralogic_03656,lgp-test-3x6-16,3*6,3,6,18,9,607,4
zebralogic_03657,lgp-test-4x5-10,4*5,4,5,20,11,683,4
zebralogic_03658,lgp-test-6x6-24,6*6,6,6,36,24,967,5
zebralogic_03659,lgp-test-6x3-11,6*3,6,3,18,13,653,4
zebralogic_03660,lgp-test-3x5-25,3*5,3,5,15,9,508,3
zebralogic_03661,lgp-test-4x2-3,4*2,4,2,8,6,192,1
zebralogic_03662,lgp-test-3x2-26,3*2,3,2,6,4,103,1
zebralogic_03663,lgp-test-6x6-27,6*6,6,6,36,24,968,5
zebralogic_03664,lgp-test-2x6-4,2*6,2,6,12,5,338,2
zebralogic_03665,lgp-test-3x5-15,3*5,3,5,15,8,490,3
zebralogic_03666,lgp-test-5x2-0,5*2,5,2,10,8,307,2
zebralogic_03667,lgp-test-6x4-36,6*4,6,4,24,15,789,4
zebralogic_03668,lgp-test-4x3-32,4*3,4,3,12,9,439,3
zebralogic_03669,lgp-test-4x3-7,4*3,4,3,12,7,393,2
zebralogic_03670,lgp-test-2x4-27,2*4,2,4,8,3,127,1
zebralogic_03671,lgp-test-6x3-16,6*3,6,3,18,12,643,4
zebralogic_03672,lgp-test-2x5-35,2*5,2,5,10,5,269,2
zebralogic_03673,lgp-test-4x3-18,4*3,4,3,12,8,418,3
zebralogic_03674,lgp-test-3x4-0,3*4,3,4,12,7,394,2
zebralogic_03675,lgp-test-3x2-7,3*2,3,2,6,3,68,1
zebralogic_03676,lgp-test-2x5-34,2*5,2,5,10,4,254,2
zebralogic_03677,lgp-test-4x6-27,4*6,4,6,24,14,771,4
zebralogic_03678,lgp-test-5x5-37,5*5,5,5,25,15,842,5
zebralogic_03679,lgp-test-6x6-25,6*6,6,6,36,26,984,5
zebralogic_03680,lgp-test-3x6-23,3*6,3,6,18,10,620,4
zebralogic_03681,lgp-test-6x2-1,6*2,6,2,12,10,460,3
zebralogic_03682,lgp-test-5x3-8,5*3,5,3,15,11,540,3
zebralogic_03683,lgp-test-6x2-6,6*2,6,2,12,11,472,3
zebralogic_03684,lgp-test-4x5-16,4*5,4,5,20,13,716,4
zebralogic_03685,lgp-test-4x4-23,4*4,4,4,16,9,567,3
zebralogic_03686,lgp-test-5x5-17,5*5,5,5,25,17,861,5
zebralogic_03687,lgp-test-4x5-39,4*5,4,5,20,11,684,4
zebralogic_03688,lgp-test-4x5-24,4*5,4,5,20,13,717,4
zebralogic_03689,lgp-test-3x5-36,3*5,3,5,15,9,509,3
zebralogic_03690,lgp-test-3x2-6,3*2,3,2,6,3,69,1
zebralogic_03691,lgp-test-6x4-8,6*4,6,4,24,17,817,5
zebralogic_03692,lgp-test-5x2-11,5*2,5,2,10,7,291,2
zebralogic_03693,lgp-test-5x4-31,5*4,5,4,20,13,718,4
zebralogic_03694,lgp-test-4x5-11,4*5,4,5,20,13,719,4
zebralogic_03695,lgp-test-3x3-19,3*3,3,3,9,5,216,2
zebralogic_03696,lgp-test-2x5-33,2*5,2,5,10,4,255,2
zebralogic_03697,lgp-test-6x3-12,6*3,6,3,18,14,662,4
zebralogic_03698,lgp-test-2x3-23,2*3,2,3,6,2,46,1
zebralogic_03699,lgp-test-4x2-34,4*2,4,2,8,6,193,1
zebralogic_03700,lgp-test-3x5-19,3*5,3,5,15,9,510,3
zebralogic_03701,lgp-test-4x4-33,4*4,4,4,16,10,578,3
zebralogic_03702,lgp-test-5x5-28,5*5,5,5,25,16,851,5
zebralogic_03703,lgp-test-4x4-7,4*4,4,4,16,11,590,3
zebralogic_03704,lgp-test-4x5-4,4*5,4,5,20,13,720,4
zebralogic_03705,lgp-test-6x4-13,6*4,6,4,24,17,818,5
zebralogic_03706,lgp-test-6x5-32,6*5,6,5,30,23,952,5
zebralogic_03707,lgp-test-2x6-26,2*6,2,6,12,5,339,2
zebralogic_03708,lgp-test-5x3-33,5*3,5,3,15,11,541,3
zebralogic_03709,lgp-test-3x5-23,3*5,3,5,15,9,511,3
zebralogic_03710,lgp-test-3x6-17,3*6,3,6,18,10,621,4
zebralogic_03711,lgp-test-6x4-23,6*4,6,4,24,18,831,5
zebralogic_03712,lgp-test-3x6-8,3*6,3,6,18,10,622,4
zebralogic_03713,lgp-test-4x6-8,4*6,4,6,24,15,790,4
zebralogic_03714,lgp-test-3x3-35,3*3,3,3,9,5,217,2
zebralogic_03715,lgp-test-5x4-10,5*4,5,4,20,14,739,4
zebralogic_03716,lgp-test-3x3-26,3*3,3,3,9,5,218,2
zebralogic_03717,lgp-test-5x6-22,5*6,5,6,30,19,890,5
zebralogic_03718,lgp-test-6x5-17,6*5,6,5,30,22,942,5
zebralogic_03719,lgp-test-4x5-13,4*5,4,5,20,14,740,4
zebralogic_03720,lgp-test-2x2-22,2*2,2,2,4,1,2,1
zebralogic_03721,lgp-test-4x5-22,4*5,4,5,20,12,694,4
zebralogic_03722,lgp-test-2x4-17,2*4,2,4,8,3,128,1
zebralogic_03723,lgp-test-3x4-15,3*4,3,4,12,7,395,2
zebralogic_03724,lgp-test-4x3-20,4*3,4,3,12,8,419,3
zebralogic_03725,lgp-test-2x6-37,2*6,2,6,12,6,361,2
zebralogic_03726,lgp-test-5x4-27,5*4,5,4,20,13,721,4
zebralogic_03727,lgp-test-3x3-21,3*3,3,3,9,4,201,2
zebralogic_03728,lgp-test-3x4-30,3*4,3,4,12,7,396,2
zebralogic_03729,lgp-test-6x6-19,6*6,6,6,36,26,985,5
zebralogic_03730,lgp-test-2x6-0,2*6,2,6,12,5,340,2
zebralogic_03731,lgp-test-4x2-2,4*2,4,2,8,5,170,1
zebralogic_03732,lgp-test-4x5-19,4*5,4,5,20,13,722,4
zebralogic_03733,lgp-test-2x6-16,2*6,2,6,12,6,362,2
zebralogic_03734,lgp-test-5x5-6,5*5,5,5,25,15,843,5
zebralogic_03735,lgp-test-5x6-33,5*6,5,6,30,20,910,5
zebralogic_03736,lgp-test-6x2-18,6*2,6,2,12,10,461,3
zebralogic_03737,lgp-test-5x6-18,5*6,5,6,30,17,883,5
zebralogic_03738,lgp-test-5x5-36,5*5,5,5,25,16,852,5
zebralogic_03739,lgp-test-3x4-17,3*4,3,4,12,7,397,2
zebralogic_03740,lgp-test-2x4-11,2*4,2,4,8,3,129,1
zebralogic_03741,lgp-test-6x5-9,6*5,6,5,30,22,943,5
zebralogic_03742,lgp-test-4x3-9,4*3,4,3,12,7,398,2
zebralogic_03743,lgp-test-5x3-5,5*3,5,3,15,10,529,3
zebralogic_03744,lgp-test-2x2-14,2*2,2,2,4,2,25,1
zebralogic_03745,lgp-test-4x4-0,4*4,4,4,16,11,591,3
zebralogic_03746,lgp-test-6x6-36,6*6,6,6,36,25,975,5
zebralogic_03747,lgp-test-6x3-28,6*3,6,3,18,14,663,4
zebralogic_03748,lgp-test-4x2-31,4*2,4,2,8,7,200,1
zebralogic_03749,lgp-test-5x4-15,5*4,5,4,20,14,741,4
zebralogic_03750,lgp-test-4x4-22,4*4,4,4,16,11,592,3
zebralogic_03751,lgp-test-3x3-20,3*3,3,3,9,5,219,2
zebralogic_03752,lgp-test-3x5-8,3*5,3,5,15,8,491,3
zebralogic_03753,lgp-test-2x6-19,2*6,2,6,12,6,363,2
zebralogic_03754,lgp-test-4x6-4,4*6,4,6,24,14,772,4
zebralogic_03755,lgp-test-3x6-35,3*6,3,6,18,11,635,4
zebralogic_03756,lgp-test-4x4-15,4*4,4,4,16,10,579,3
zebralogic_03757,lgp-test-2x2-35,2*2,2,2,4,2,26,1
zebralogic_03758,lgp-test-4x3-2,4*3,4,3,12,9,440,3
zebralogic_03759,lgp-test-6x5-7,6*5,6,5,30,23,953,5
zebralogic_03760,lgp-test-5x3-19,5*3,5,3,15,11,542,3
zebralogic_03761,lgp-test-5x2-36,5*2,5,2,10,6,281,2
zebralogic_03762,lgp-test-2x4-18,2*4,2,4,8,3,130,1
zebralogic_03763,lgp-test-3x5-17,3*5,3,5,15,9,512,3
zebralogic_03764,lgp-test-2x2-12,2*2,2,2,4,2,27,1
zebralogic_03765,lgp-test-5x4-4,5*4,5,4,20,14,742,4
zebralogic_03766,lgp-test-2x4-36,2*4,2,4,8,4,151,1
zebralogic_03767,lgp-test-4x3-6,4*3,4,3,12,9,441,3
zebralogic_03768,lgp-test-4x2-7,4*2,4,2,8,6,194,1
zebralogic_03769,lgp-test-6x2-15,6*2,6,2,12,9,442,3
zebralogic_03770,lgp-test-3x4-32,3*4,3,4,12,7,399,2
zebralogic_03771,lgp-test-3x5-38,3*5,3,5,15,10,530,3
zebralogic_03772,lgp-test-4x3-31,4*3,4,3,12,8,420,3
zebralogic_03773,lgp-test-3x2-4,3*2,3,2,6,5,118,1
zebralogic_03774,lgp-test-3x2-27,3*2,3,2,6,4,104,1
zebralogic_03775,lgp-test-4x4-1,4*4,4,4,16,11,593,3
zebralogic_03776,lgp-test-2x2-39,2*2,2,2,4,2,28,1
zebralogic_03777,lgp-test-3x6-31,3*6,3,6,18,9,608,4
zebralogic_03778,lgp-test-2x4-30,2*4,2,4,8,3,131,1
zebralogic_03779,lgp-test-6x2-32,6*2,6,2,12,10,462,3
zebralogic_03780,lgp-test-6x2-12,6*2,6,2,12,9,443,3
zebralogic_03781,lgp-test-6x6-2,6*6,6,6,36,29,999,5
zebralogic_03782,lgp-test-4x2-21,4*2,4,2,8,5,171,1
zebralogic_03783,lgp-test-3x5-20,3*5,3,5,15,9,513,3
zebralogic_03784,lgp-test-2x6-23,2*6,2,6,12,6,364,2
zebralogic_03785,lgp-test-6x6-37,6*6,6,6,36,26,986,5
zebralogic_03786,lgp-test-4x2-22,4*2,4,2,8,5,172,1
zebralogic_03787,lgp-test-2x6-21,2*6,2,6,12,4,323,2
zebralogic_03788,lgp-test-6x4-24,6*4,6,4,24,18,832,5
zebralogic_03789,lgp-test-6x3-21,6*3,6,3,18,14,664,4
zebralogic_03790,lgp-test-5x3-9,5*3,5,3,15,12,553,3
zebralogic_03791,lgp-test-5x5-25,5*5,5,5,25,18,871,5
zebralogic_03792,lgp-test-5x4-20,5*4,5,4,20,15,754,4
zebralogic_03793,lgp-test-2x4-25,2*4,2,4,8,3,132,1
zebralogic_03794,lgp-test-6x4-39,6*4,6,4,24,15,791,4
zebralogic_03795,lgp-test-5x3-11,5*3,5,3,15,11,543,3
zebralogic_03796,lgp-test-3x6-6,3*6,3,6,18,9,609,4
zebralogic_03797,lgp-test-5x2-19,5*2,5,2,10,8,308,2
zebralogic_03798,lgp-test-6x4-25,6*4,6,4,24,19,835,5
zebralogic_03799,lgp-test-3x4-35,3*4,3,4,12,6,365,2
zebralogic_03800,lgp-test-2x3-2,2*3,2,3,6,3,70,1
zebralogic_03801,lgp-test-2x5-10,2*5,2,5,10,4,256,2
zebralogic_03802,lgp-test-4x3-0,4*3,4,3,12,8,421,3
zebralogic_03803,lgp-test-2x5-31,2*5,2,5,10,5,270,2
zebralogic_03804,lgp-test-4x6-28,4*6,4,6,24,14,773,4
zebralogic_03805,lgp-test-2x2-36,2*2,2,2,4,2,29,1
zebralogic_03806,lgp-test-2x5-32,2*5,2,5,10,4,257,2
zebralogic_03807,lgp-test-5x3-36,5*3,5,3,15,10,531,3
zebralogic_03808,lgp-test-6x6-0,6*6,6,6,36,25,976,5
zebralogic_03809,lgp-test-5x2-1,5*2,5,2,10,7,292,2
zebralogic_03810,lgp-test-4x2-37,4*2,4,2,8,6,195,1
zebralogic_03811,lgp-test-4x3-12,4*3,4,3,12,8,422,3
zebralogic_03812,lgp-test-5x6-25,5*6,5,6,30,19,891,5
zebralogic_03813,lgp-test-3x3-28,3*3,3,3,9,6,234,2
zebralogic_03814,lgp-test-2x5-13,2*5,2,5,10,4,258,2
zebralogic_03815,lgp-test-3x5-21,3*5,3,5,15,9,514,3
zebralogic_03816,lgp-test-6x2-3,6*2,6,2,12,12,474,3
zebralogic_03817,lgp-test-2x3-5,2*3,2,3,6,2,47,1
zebralogic_03818,lgp-test-3x4-3,3*4,3,4,12,6,366,2
zebralogic_03819,lgp-test-5x3-12,5*3,5,3,15,8,492,3
zebralogic_03820,lgp-test-6x5-28,6*5,6,5,30,20,911,5
zebralogic_03821,lgp-test-2x3-12,2*3,2,3,6,3,71,1
zebralogic_03822,lgp-test-6x2-21,6*2,6,2,12,10,463,3
zebralogic_03823,lgp-test-5x6-19,5*6,5,6,30,21,930,5
zebralogic_03824,lgp-test-6x6-17,6*6,6,6,36,27,993,5
zebralogic_03825,lgp-test-4x6-39,4*6,4,6,24,14,774,4
zebralogic_03826,lgp-test-3x2-8,3*2,3,2,6,3,72,1
zebralogic_03827,lgp-test-3x5-31,3*5,3,5,15,9,515,3
zebralogic_03828,lgp-test-3x2-15,3*2,3,2,6,4,105,1
zebralogic_03829,lgp-test-3x4-8,3*4,3,4,12,6,367,2
zebralogic_03830,lgp-test-3x3-38,3*3,3,3,9,4,202,2
zebralogic_03831,lgp-test-6x5-33,6*5,6,5,30,19,892,5
zebralogic_03832,lgp-test-6x2-20,6*2,6,2,12,8,423,3
zebralogic_03833,lgp-test-2x4-29,2*4,2,4,8,3,133,1
zebralogic_03834,lgp-test-2x4-38,2*4,2,4,8,4,152,1
zebralogic_03835,lgp-test-6x5-21,6*5,6,5,30,22,944,5
zebralogic_03836,lgp-test-2x5-17,2*5,2,5,10,4,259,2
zebralogic_03837,lgp-test-2x4-26,2*4,2,4,8,4,153,1
zebralogic_03838,lgp-test-3x4-26,3*4,3,4,12,6,368,2
zebralogic_03839,lgp-test-6x6-12,6*6,6,6,36,28,996,5
zebralogic_03840,lgp-test-2x2-8,2*2,2,2,4,2,30,1
zebralogic_03841,lgp-test-6x2-22,6*2,6,2,12,9,444,3
zebralogic_03842,lgp-test-3x4-29,3*4,3,4,12,6,369,2
zebralogic_03843,lgp-test-4x5-36,4*5,4,5,20,11,685,4
zebralogic_03844,lgp-test-5x5-23,5*5,5,5,25,17,862,5
zebralogic_03845,lgp-test-5x2-34,5*2,5,2,10,6,282,2
zebralogic_03846,lgp-test-3x4-11,3*4,3,4,12,8,424,3
zebralogic_03847,lgp-test-3x6-18,3*6,3,6,18,10,623,4
zebralogic_03848,lgp-test-6x4-9,6*4,6,4,24,17,819,5
zebralogic_03849,lgp-test-5x2-29,5*2,5,2,10,7,293,2
zebralogic_03850,lgp-test-3x5-37,3*5,3,5,15,8,493,3
zebralogic_03851,lgp-test-5x4-32,5*4,5,4,20,16,759,4
zebralogic_03852,lgp-test-5x2-20,5*2,5,2,10,7,294,2
zebralogic_03853,lgp-test-4x4-38,4*4,4,4,16,11,594,3
zebralogic_03854,lgp-test-5x3-22,5*3,5,3,15,11,544,3
zebralogic_03855,lgp-test-4x5-30,4*5,4,5,20,14,743,4
zebralogic_03856,lgp-test-2x3-35,2*3,2,3,6,2,48,1
zebralogic_03857,lgp-test-2x4-22,2*4,2,4,8,3,134,1
zebralogic_03858,lgp-test-4x6-16,4*6,4,6,24,16,805,5
zebralogic_03859,lgp-test-6x3-17,6*3,6,3,18,15,674,4
zebralogic_03860,lgp-test-2x2-9,2*2,2,2,4,2,31,1
zebralogic_03861,lgp-test-2x3-34,2*3,2,3,6,3,73,1
zebralogic_03862,lgp-test-6x5-31,6*5,6,5,30,22,945,5
zebralogic_03863,lgp-test-4x3-28,4*3,4,3,12,7,400,2
zebralogic_03864,lgp-test-3x4-27,3*4,3,4,12,6,370,2
zebralogic_03865,lgp-test-2x5-14,2*5,2,5,10,4,260,2
zebralogic_03866,lgp-test-6x3-19,6*3,6,3,18,15,675,4
zebralogic_03867,lgp-test-6x4-4,6*4,6,4,24,20,839,5
zebralogic_03868,lgp-test-3x3-4,3*3,3,3,9,6,235,2
zebralogic_03869,lgp-test-5x3-1,5*3,5,3,15,12,554,3
zebralogic_03870,lgp-test-3x2-9,3*2,3,2,6,4,106,1
zebralogic_03871,lgp-test-3x3-27,3*3,3,3,9,5,220,2
zebralogic_03872,lgp-test-6x3-30,6*3,6,3,18,14,665,4
zebralogic_03873,lgp-test-4x5-15,4*5,4,5,20,12,695,4
zebralogic_03874,lgp-test-4x6-18,4*6,4,6,24,15,792,4
zebralogic_03875,lgp-test-6x3-5,6*3,6,3,18,12,644,4
zebralogic_03876,lgp-test-6x6-8,6*6,6,6,36,25,977,5
zebralogic_03877,lgp-test-2x4-3,2*4,2,4,8,3,135,1
zebralogic_03878,lgp-test-2x3-0,2*3,2,3,6,3,74,1
zebralogic_03879,lgp-test-5x2-8,5*2,5,2,10,7,295,2
zebralogic_03880,lgp-test-4x6-32,4*6,4,6,24,14,775,4
zebralogic_03881,lgp-test-6x3-13,6*3,6,3,18,13,654,4
zebralogic_03882,lgp-test-4x6-23,4*6,4,6,24,14,776,4
zebralogic_03883,lgp-test-2x5-2,2*5,2,5,10,5,271,2
zebralogic_03884,lgp-test-4x2-13,4*2,4,2,8,5,173,1
zebralogic_03885,lgp-test-3x3-0,3*3,3,3,9,4,203,2
zebralogic_03886,lgp-test-5x5-3,5*5,5,5,25,15,844,5
zebralogic_03887,lgp-test-5x2-9,5*2,5,2,10,8,309,2
zebralogic_03888,lgp-test-5x6-6,5*6,5,6,30,22,946,5
zebralogic_03889,lgp-test-2x6-30,2*6,2,6,12,6,371,2
zebralogic_03890,lgp-test-2x4-2,2*4,2,4,8,2,121,1
zebralogic_03891,lgp-test-4x5-0,4*5,4,5,20,13,723,4
zebralogic_03892,lgp-test-6x3-36,6*3,6,3,18,13,655,4
zebralogic_03893,lgp-test-6x2-5,6*2,6,2,12,9,445,3
zebralogic_03894,lgp-test-5x6-23,5*6,5,6,30,21,931,5
zebralogic_03895,lgp-test-4x4-34,4*4,4,4,16,11,595,3
zebralogic_03896,lgp-test-4x4-8,4*4,4,4,16,10,580,3
zebralogic_03897,lgp-test-6x3-7,6*3,6,3,18,14,666,4
zebralogic_03898,lgp-test-5x3-32,5*3,5,3,15,10,532,3
zebralogic_03899,lgp-test-2x3-18,2*3,2,3,6,3,75,1
zebralogic_03900,lgp-test-3x5-1,3*5,3,5,15,8,494,3
zebralogic_03901,lgp-test-5x4-11,5*4,5,4,20,13,724,4
zebralogic_03902,lgp-test-4x5-35,4*5,4,5,20,13,725,4
zebralogic_03903,lgp-test-4x6-33,4*6,4,6,24,14,777,4
zebralogic_03904,lgp-test-6x2-37,6*2,6,2,12,13,479,3
zebralogic_03905,lgp-test-3x2-22,3*2,3,2,6,4,107,1
zebralogic_03906,lgp-test-3x4-23,3*4,3,4,12,7,401,3
zebralogic_03907,lgp-test-5x4-36,5*4,5,4,20,15,755,4
zebralogic_03908,lgp-test-2x5-38,2*5,2,5,10,5,272,2
zebralogic_03909,lgp-test-4x4-18,4*4,4,4,16,10,581,3
zebralogic_03910,lgp-test-4x6-9,4*6,4,6,24,13,763,4
zebralogic_03911,lgp-test-6x4-17,6*4,6,4,24,16,806,5
zebralogic_03912,lgp-test-3x4-12,3*4,3,4,12,7,402,3
zebralogic_03913,lgp-test-4x3-25,4*3,4,3,12,8,425,3
zebralogic_03914,lgp-test-6x6-28,6*6,6,6,36,23,961,5
zebralogic_03915,lgp-test-3x6-39,3*6,3,6,18,10,624,4
zebralogic_03916,lgp-test-2x2-2,2*2,2,2,4,2,32,1
zebralogic_03917,lgp-test-6x4-6,6*4,6,4,24,16,807,5
zebralogic_03918,lgp-test-2x6-8,2*6,2,6,12,6,372,2
zebralogic_03919,lgp-test-5x5-5,5*5,5,5,25,17,863,5
zebralogic_03920,lgp-test-6x3-29,6*3,6,3,18,19,680,4
zebralogic_03921,lgp-test-3x2-18,3*2,3,2,6,4,108,1
zebralogic_03922,lgp-test-4x4-12,4*4,4,4,16,9,568,3
zebralogic_03923,lgp-test-5x4-35,5*4,5,4,20,13,726,4
zebralogic_03924,lgp-test-5x5-31,5*5,5,5,25,17,864,5
zebralogic_03925,lgp-test-2x6-10,2*6,2,6,12,6,373,2
zebralogic_03926,lgp-test-3x3-2,3*3,3,3,9,6,236,2
zebralogic_03927,lgp-test-6x6-20,6*6,6,6,36,26,987,5
zebralogic_03928,lgp-test-2x2-15,2*2,2,2,4,2,33,1
zebralogic_03929,lgp-test-4x5-33,4*5,4,5,20,12,696,4
zebralogic_03930,lgp-test-5x3-27,5*3,5,3,15,11,545,3
zebralogic_03931,lgp-test-2x3-11,2*3,2,3,6,2,49,1
zebralogic_03932,lgp-test-6x6-29,6*6,6,6,36,25,978,5
zebralogic_03933,lgp-test-4x6-3,4*6,4,6,24,14,778,4
zebralogic_03934,lgp-test-4x3-13,4*3,4,3,12,8,426,3
zebralogic_03935,lgp-test-2x3-37,2*3,2,3,6,3,76,1
zebralogic_03936,lgp-test-3x3-15,3*3,3,3,9,5,221,2
zebralogic_03937,lgp-test-6x4-32,6*4,6,4,24,15,793,4
zebralogic_03938,lgp-test-5x4-37,5*4,5,4,20,13,727,4
zebralogic_03939,lgp-test-2x6-27,2*6,2,6,12,5,341,2
zebralogic_03940,lgp-test-6x2-29,6*2,6,2,12,8,427,3
zebralogic_03941,lgp-test-2x5-23,2*5,2,5,10,5,273,2
zebralogic_03942,lgp-test-6x6-6,6*6,6,6,36,25,979,5
zebralogic_03943,lgp-test-6x2-14,6*2,6,2,12,9,446,3
zebralogic_03944,lgp-test-5x4-25,5*4,5,4,20,18,760,4
zebralogic_03945,lgp-test-6x5-3,6*5,6,5,30,20,912,5
zebralogic_03946,lgp-test-3x3-14,3*3,3,3,9,5,222,2
zebralogic_03947,lgp-test-2x4-31,2*4,2,4,8,4,154,1
zebralogic_03948,lgp-test-3x5-27,3*5,3,5,15,8,495,3
zebralogic_03949,lgp-test-4x2-12,4*2,4,2,8,6,196,1
zebralogic_03950,lgp-test-2x3-22,2*3,2,3,6,3,77,1
zebralogic_03951,lgp-test-2x4-20,2*4,2,4,8,4,155,1
zebralogic_03952,lgp-test-5x3-21,5*3,5,3,15,12,555,3
zebralogic_03953,lgp-test-5x3-29,5*3,5,3,15,14,558,3
zebralogic_03954,lgp-test-5x4-9,5*4,5,4,20,15,756,4
zebralogic_03955,lgp-test-2x3-15,2*3,2,3,6,3,78,1
zebralogic_03956,lgp-test-4x3-38,4*3,4,3,12,8,428,3
zebralogic_03957,lgp-test-4x2-20,4*2,4,2,8,6,197,1
zebralogic_03958,lgp-test-5x5-35,5*5,5,5,25,17,865,5
zebralogic_03959,lgp-test-3x6-2,3*6,3,6,18,10,625,4
zebralogic_03960,lgp-test-4x3-1,4*3,4,3,12,6,374,2
zebralogic_03961,lgp-test-5x3-34,5*3,5,3,15,11,546,3
zebralogic_03962,lgp-test-6x5-26,6*5,6,5,30,22,947,5
zebralogic_03963,lgp-test-2x4-16,2*4,2,4,8,3,136,1
zebralogic_03964,lgp-test-2x6-34,2*6,2,6,12,5,342,2
zebralogic_03965,lgp-test-4x2-16,4*2,4,2,8,5,174,1
zebralogic_03966,lgp-test-5x4-29,5*4,5,4,20,13,728,4
zebralogic_03967,lgp-test-3x3-8,3*3,3,3,9,6,237,2
zebralogic_03968,lgp-test-4x4-4,4*4,4,4,16,11,596,3
zebralogic_03969,lgp-test-4x6-30,4*6,4,6,24,13,764,4
zebralogic_03970,lgp-test-4x6-24,4*6,4,6,24,15,794,4
zebralogic_03971,lgp-test-2x5-15,2*5,2,5,10,5,274,2
zebralogic_03972,lgp-test-5x5-33,5*5,5,5,25,16,853,5
zebralogic_03973,lgp-test-3x2-19,3*2,3,2,6,4,109,1
zebralogic_03974,lgp-test-5x6-7,5*6,5,6,30,19,893,5
zebralogic_03975,lgp-test-5x4-5,5*4,5,4,20,14,744,4
zebralogic_03976,lgp-test-3x4-5,3*4,3,4,12,6,375,2
zebralogic_03977,lgp-test-3x3-3,3*3,3,3,9,5,223,2
zebralogic_03978,lgp-test-4x5-6,4*5,4,5,20,14,745,4
zebralogic_03979,lgp-test-5x5-8,5*5,5,5,25,17,866,5
zebralogic_03980,lgp-test-3x5-18,3*5,3,5,15,9,516,3
zebralogic_03981,lgp-test-6x3-32,6*3,6,3,18,14,667,4
zebralogic_03982,lgp-test-2x3-29,2*3,2,3,6,3,79,1
zebralogic_03983,lgp-test-6x3-34,6*3,6,3,18,14,668,4
zebralogic_03984,lgp-test-2x3-20,2*3,2,3,6,3,80,1
zebralogic_03985,lgp-test-5x3-6,5*3,5,3,15,9,517,3
zebralogic_03986,lgp-test-5x5-4,5*5,5,5,25,20,879,5
zebralogic_03987,lgp-test-2x3-32,2*3,2,3,6,3,81,1
zebralogic_03988,lgp-test-2x2-7,2*2,2,2,4,2,34,1
zebralogic_03989,lgp-test-6x6-7,6*6,6,6,36,25,980,5
zebralogic_03990,lgp-test-5x5-14,5*5,5,5,25,19,876,5
zebralogic_03991,lgp-test-3x2-35,3*2,3,2,6,4,110,1
zebralogic_03992,lgp-test-4x6-7,4*6,4,6,24,14,779,4
zebralogic_03993,lgp-test-5x2-2,5*2,5,2,10,6,283,2
zebralogic_03994,lgp-test-2x2-21,2*2,2,2,4,2,35,1
zebralogic_03995,lgp-test-3x5-26,3*5,3,5,15,9,518,3
zebralogic_03996,lgp-test-6x2-27,6*2,6,2,12,12,475,3
zebralogic_03997,lgp-test-3x2-30,3*2,3,2,6,3,82,1
zebralogic_03998,lgp-test-3x3-13,3*3,3,3,9,6,238,2
zebralogic_03999,lgp-test-2x5-3,2*5,2,5,10,5,275,2
zebralogic_04000,lgp-test-4x3-22,4*3,4,3,12,9,447,3
zebralogic_04001,lgp-test-4x5-9,4*5,4,5,20,11,686,4
zebralogic_04002,lgp-test-4x3-8,4*3,4,3,12,8,429,3
zebralogic_04003,lgp-test-6x2-31,6*2,6,2,12,10,464,3
zebralogic_04004,lgp-test-6x6-11,6*6,6,6,36,26,988,5
zebralogic_04005,lgp-test-5x4-7,5*4,5,4,20,12,697,4
zebralogic_04006,lgp-test-6x3-4,6*3,6,3,18,15,676,4
zebralogic_04007,lgp-test-3x4-39,3*4,3,4,12,8,430,3
zebralogic_04008,lgp-test-5x5-10,5*5,5,5,25,17,867,5
zebralogic_04009,lgp-test-3x2-5,3*2,3,2,6,4,111,1
zebralogic_04010,lgp-test-5x4-26,5*4,5,4,20,14,746,4
zebralogic_04011,lgp-test-6x5-18,6*5,6,5,30,23,954,5
